city,population,"violent crime","murder and nonnegligent manslaughter","rape (revised definition)","rape (legacy definition)",robbery,"aggravated assault","property crime",burglary,"larceny-theft","motor vehicle theft",arson
Hickory Creek,3493,7,0,0,2,2,3,108,2,97,9,0
Highland Park,8900,5,0,1,0,3,1,160,33,116,11,0
Highland Village,15754,8,0,0,0,0,8,112,12,99,1,0
Hill Country Village,1016,0,0,0,0,0,0,41,6,32,3,0
Hillsboro,8377,30,0,0,1,5,24,343,50,282,11,1
Hitchcock,7250,29,1,0,3,4,21,234,82,129,23,0
Hollywood Park,3168,0,0,0,0,0,0,76,13,62,1,0
Hondo,8925,22,0,0,5,1,16,234,30,198,6,0
Hooks,2731,7,1,0,1,1,4,38,15,22,1,0
Horizon City,19439,13,0,0,0,4,9,266,59,187,20,2
Horseshoe Bay,3334,5,0,0,1,0,4,75,12,57,6,0
Houston,2180606,20993,214,0,618,9891,10270,110919,23733,73591,13595,708
Howe,2602,6,0,0,1,0,5,18,6,10,2,0
Hubbard,1416,0,0,0,0,0,0,15,4,9,2,0
Hudson,4750,27,0,0,0,1,26,86,30,56,0,0
Hughes Springs,1727,1,0,0,0,0,1,18,15,2,1,2
Humble,15473,95,0,0,12,45,38,1624,273,1239,112,1
Huntington,2102,4,0,0,3,0,1,44,15,27,2,0
Huntsville,39990,213,0,0,22,22,169,1078,241,798,39,0
Hurst,38456,205,1,0,6,47,151,1978,222,1700,56,2
Hutchins,5439,8,0,0,2,1,5,192,42,122,28,1
Hutto,19513,8,0,0,5,2,1,164,28,131,5,1
Idalou,2264,6,0,0,0,0,6,20,8,11,1,0
Ingleside,9541,32,1,0,4,2,25,270,74,175,21,5
Ingram,1805,5,0,0,3,0,2,52,10,40,2,0
Iowa Park,6408,13,0,2,0,1,10,63,22,40,1,2
Irving,228367,530,2,0,24,186,318,6175,1137,4444,594,17
Jacksboro,4487,13,0,0,0,1,12,102,38,61,3,0
Jacksonville,14816,111,0,0,13,11,87,601,158,431,12,8
Jamaica Beach,1006,0,0,0,0,0,0,1,1,0,0,0
Jarrell,1051,0,0,0,0,0,0,11,0,10,1,0
Jasper,7702,31,0,0,6,3,22,484,79,404,1,1
Jefferson,2057,13,0,0,0,1,12,60,16,42,2,0
Jersey Village,7845,38,0,0,0,9,29,218,44,158,16,2
Johnson City,1733,2,0,0,0,0,2,10,1,9,0,0
Jones Creek,2067,0,0,0,0,0,0,2,0,2,0,0
